SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,OPEN_INT,CHG_IN_OI,COI_OI,COI_CHOI,COUNT
BANKNIFTY,28-APR-2020,20399.45,20749.0,20242.0,20676.1,846840,-132620,1419060,81480,0
BANKNIFTY,28-APR-2020,20397.95,20730.3,20224.0,20645.35,558800,212000,1419060,81480,1
BANKNIFTY,28-APR-2020,20312.0,20743.5,20239.45,20670.65,13420,2100,1419060,81480,2
NIFTY,28-APR-2020,9379.0,9421.0,9257.15,9397.75,6136275,-947925,11174475,292800,3
NIFTY,28-APR-2020,9400.05,9439.5,9275.0,9412.5,4658400,1203300,11174475,292800,4
NIFTY,28-APR-2020,9410.0,9449.75,9276.3,9417.65,379800,37425,11174475,292800,5
BANKNIFTY,29-APR-2020,20540.05,21359.85,20401.05,21128.1,413020,-433820,1158640,-260420,0
BANKNIFTY,29-APR-2020,20515.05,21341.9,20382.9,21095.7,728120,169320,1158640,-260420,1
BANKNIFTY,29-APR-2020,20655.55,21399.9,20456.6,21099.9,17500,4080,1158640,-260420,2
NIFTY,29-APR-2020,9425.0,9595.2,9399.5,9549.15,5063550,-1072725,11716875,542400,3
NIFTY,29-APR-2020,9402.5,9616.4,9402.5,9567.75,6241650,1583250,11716875,542400,4
NIFTY,29-APR-2020,9430.0,9616.75,9425.0,9577.45,411675,31875,11716875,542400,5
BANKNIFTY,30-APR-2020,21550.2,21984.85,21342.9,21527.75,226640,-186380,1231100,72460,0
BANKNIFTY,30-APR-2020,21510.2,21932.15,21287.15,21431.3,980000,251880,1231100,72460,1
BANKNIFTY,30-APR-2020,21563.0,21944.6,21313.2,21451.05,24460,6960,1231100,72460,2
NIFTY,30-APR-2020,9705.35,9877.95,9693.65,9842.4,3869025,-1194525,13478550,1761675,3
NIFTY,30-APR-2020,9730.85,9904.55,9721.0,9830.85,9158250,2916600,13478550,1761675,4
NIFTY,30-APR-2020,9794.35,9908.0,9717.6,9837.45,451275,39600,13478550,1761675,5
